t,type,r,v,details
553782.2865,pericenter,7000000.006,7545.999993,{"ecc": 5.904040793231996e-05, "energy": -28467696.28797191}
556695.8935,apocenter,7000826.615,7545.109014,{"ecc": 5.904038403211127e-05, "energy": -28467696.287981976}
559612.1803,pericenter,7000000.008,7545.999991,{"ecc": 5.904040984947769e-05, "energy": -28467696.287993297}
562524.6162,apocenter,7000826.616,7545.109013,{"ecc": 5.904038737841384e-05, "energy": -28467696.288003094}
565444.0662,pericenter,7000000.015,7545.999983,{"ecc": 5.904040850415025e-05, "energy": -28467696.28801243}
568357.6654,apocenter,7000826.608,7545.109022,{"ecc": 5.904038271862326e-05, "energy": -28467696.288024914}
571269.4426,pericenter,7000000.005,7545.999994,{"ecc": 5.904041001459322e-05, "energy": -28467696.288036022}
574185.7069,apocenter,7000826.611,7545.109018,{"ecc": 5.904038925343089e-05, "energy": -28467696.288044587}
577098.534,pericenter,7000000.005,7545.999994,{"ecc": 5.904040764184569e-05, "energy": -28467696.288052145}
580012.3005,apocenter,7000826.616,7545.109013,{"ecc": 5.9040389255433195e-05, "energy": -28467696.288059857}
582928.911,pericenter,7000000.007,7545.999992,{"ecc": 5.904040790751201e-05, "energy": -28467696.28806717}
585842.7473,apocenter,7000826.614,7545.109015,{"ecc": 5.9040390157598385e-05, "energy": -28467696.288074218}
588757.129,pericenter,7000000.005,7545.999994,{"ecc": 5.904040776873236e-05, "energy": -28467696.28808094}
591675.139,apocenter,7000826.606,7545.109023,{"ecc": 5.9040388575761375e-05, "energy": -28467696.288088597}
594589.8734,pericenter,7000000.014,7545.999985,{"ecc": 5.904040726670264e-05, "energy": -28467696.288096115}
597503.5494,apocenter,7000826.609,7545.10902,{"ecc": 5.904038689456672e-05, "energy": -28467696.288104154}
600417.8096,pericenter,7000000.01,7545.999989,{"ecc": 5.904040529362175e-05, "energy": -28467696.288111374}
603332.0432,apocenter,7000826.611,7545.109018,{"ecc": 5.904038728258761e-05, "energy": -28467696.28811843}
606248.5813,pericenter,7000000.014,7545.999984,{"ecc": 5.904040778929457e-05, "energy": -28467696.28812642}
609160.641,apocenter,7000826.612,7545.109017,{"ecc": 5.904038670738881e-05, "energy": -28467696.28813494}
612073.9218,pericenter,7000000.005,7545.999994,{"ecc": 5.9040410957097586e-05, "energy": -28467696.28814497}
614996.5052,apocenter,7000826.588,7545.109043,{"ecc": 5.904038354754196e-05, "energy": -28467696.288165104}
617903.6066,pericenter,7000000.006,7545.999994,{"ecc": 5.904040839646441e-05, "energy": -28467696.288179103}
620820.7768,apocenter,7000826.608,7545.109021,{"ecc": 5.9040386388741393e-05, "energy": -28467696.288187895}
623735.5043,pericenter,7000000.012,7545.999987,{"ecc": 5.90404049084779e-05, "energy": -28467696.288195014}
626648.9468,apocenter,7000826.611,7545.109018,{"ecc": 5.9040382516440334e-05, "energy": -28467696.288204744}
629564.3961,pericenter,7000000.011,7545.999988,{"ecc": 5.9040408370224806e-05, "energy": -28467696.288215626}
632478.7593,apocenter,7000826.61,7545.10902,{"ecc": 5.904038026147048e-05, "energy": -28467696.288227126}
635391.12,pericenter,7000000.005,7545.999994,{"ecc": 5.904040382051297e-05, "energy": -28467696.288237117}
638307.8678,apocenter,7000826.61,7545.109019,{"ecc": 5.9040378588856964e-05, "energy": -28467696.288247734}
641219.8877,pericenter,7000000.005,7545.999995,{"ecc": 5.904040137141367e-05, "energy": -28467696.288258318}
644136.5879,apocenter,7000826.611,7545.109018,{"ecc": 5.904037735953537e-05, "energy": -28467696.288269646}
647052.022,pericenter,7000000.011,7545.999988,{"ecc": 5.904040147188738e-05, "energy": -28467696.28828097}
649967.2263,apocenter,7000826.607,7545.109022,{"ecc": 5.9040380475587116e-05, "energy": -28467696.288290083}
652880.2135,pericenter,7000000.008,7545.999991,{"ecc": 5.904040813069783e-05, "energy": -28467696.28830298}
655797.8482,apocenter,7000826.603,7545.109027,{"ecc": 5.904038831533551e-05, "energy": -28467696.288312007}
658711.0402,pericenter,7000000.012,7545.999987,{"ecc": 5.9040409206774555e-05, "energy": -28467696.288321003}
661623.4631,apocenter,7000826.613,7545.109016,{"ecc": 5.904038506011985e-05, "energy": -28467696.28833123}
664539.5306,pericenter,7000000.01,7545.999989,{"ecc": 5.904040916363153e-05, "energy": -28467696.288341362}
667452.1681,apocenter,7000826.614,7545.109015,{"ecc": 5.904038748228167e-05, "energy": -28467696.28835117}
670368.3228,pericenter,7000000.009,7545.99999,{"ecc": 5.904041402651518e-05, "energy": -28467696.288363073}
673281.247,apocenter,7000826.614,7545.109015,{"ecc": 5.904038899622543e-05, "energy": -28467696.288373295}
676198.44,pericenter,7000000.011,7545.999988,{"ecc": 5.904040966380464e-05, "energy": -28467696.288381897}
679112.0373,apocenter,7000826.611,7545.109018,{"ecc": 5.904039044462868e-05, "energy": -28467696.288389474}
682026.9742,pericenter,7000000.009,7545.99999,{"ecc": 5.9040418562634995e-05, "energy": -28467696.288401935}
684939.8461,apocenter,7000826.614,7545.109015,{"ecc": 5.904039683445037e-05, "energy": -28467696.28841119}
687857.06,pericenter,7000000.011,7545.999987,{"ecc": 5.9040417792026354e-05, "energy": -28467696.28841991}
690772.1111,apocenter,7000826.607,7545.109022,{"ecc": 5.904039489812406e-05, "energy": -28467696.28842895}
693684.392,pericenter,7000000.007,7545.999992,{"ecc": 5.904041713946431e-05, "energy": -28467696.288438052}
696600.3797,apocenter,7000826.61,7545.109019,{"ecc": 5.904039655859431e-05, "energy": -28467696.28844657}
699512.0623,pericenter,7000000.004,7545.999995,{"ecc": 5.904041572714639e-05, "energy": -28467696.28845403}
702427.1519,apocenter,7000826.615,7545.109014,{"ecc": 5.904039390737012e-05, "energy": -28467696.288462844}
705345.0308,pericenter,7000000.012,7545.999987,{"ecc": 5.9040416086497685e-05, "energy": -28467696.288471647}
708258.1444,apocenter,7000826.612,7545.109017,{"ecc": 5.9040394668734906e-05, "energy": -28467696.2884806}
711175.1412,pericenter,7000000.015,7545.999984,{"ecc": 5.904041661495586e-05, "energy": -28467696.288489405}
714086.6916,apocenter,7000826.613,7545.109016,{"ecc": 5.9040382083737984e-05, "energy": -28467696.288503677}
717001.9256,pericenter,7000000.008,7545.999991,{"ecc": 5.904040363805426e-05, "energy": -28467696.288512412}
719916.2587,apocenter,7000826.612,7545.109017,{"ecc": 5.9040381625012574e-05, "energy": -28467696.288521472}
722830.4381,pericenter,7000000.006,7545.999993,{"ecc": 5.904040491262718e-05, "energy": -28467696.288530692}
725744.2236,apocenter,7000826.615,7545.109014,{"ecc": 5.9040381904336426e-05, "energy": -28467696.288540203}
728662.178,pericenter,7000000.013,7545.999986,{"ecc": 5.904040732477506e-05, "energy": -28467696.288551304}
731577.0516,apocenter,7000826.606,7545.109023,{"ecc": 5.904038247092115e-05, "energy": -28467696.288562506}
734488.4416,pericenter,7000000.005,7545.999994,{"ecc": 5.9040407228044414e-05, "energy": -28467696.288572386}
